DATE,price
2010-01-22,0.24906
2010-01-23,0.24906
2010-01-24,0.24906
2010-01-25,0.24875
2010-01-26,0.24875
2010-01-27,0.24875
2010-01-28,0.24875
2010-01-29,0.24906
2010-01-30,0.24906
2010-01-31,0.24906
2010-02-01,0.24906
2010-02-02,0.25031
2010-02-03,0.24906
2010-02-04,0.24875
2010-02-05,0.24969
2010-02-06,0.24969
2010-02-07,0.24969
2010-02-08,0.25
2010-02-09,0.25
2010-02-10,0.25
2010-02-11,0.25
2010-02-12,0.25
2010-02-13,0.25
2010-02-14,0.25
2010-02-15,0.25
2010-02-16,0.25
2010-02-17,0.25063
2010-02-18,0.25125
2010-02-19,0.25194
2010-02-20,0.25194
2010-02-21,0.25194
2010-02-22,0.25219
2010-02-23,0.25194
2010-02-24,0.25194
2010-02-25,0.25194
2010-02-26,0.25169
2010-02-27,0.25169
2010-02-28,0.25169
2010-03-01,0.25169
2010-03-02,0.25194
2010-03-03,0.25194
2010-03-04,0.25219
2010-03-05,0.25363
2010-03-06,0.25363
2010-03-07,0.25363
2010-03-08,0.25425
2010-03-09,0.2555
2010-03-10,0.25563
2010-03-11,0.25703
2010-03-12,0.25719
2010-03-13,0.25719
2010-03-14,0.25719
2010-03-15,0.25763
2010-03-16,0.26088
2010-03-17,0.26638
2010-03-18,0.271
2010-03-19,0.2775
2010-03-20,0.2775
2010-03-21,0.2775
2010-03-22,0.28188
2010-03-23,0.28353
2010-03-24,0.28491
2010-03-25,0.28781
2010-03-26,0.28875
2010-03-27,0.28875
2010-03-28,0.28875
2010-03-29,0.29013
2010-03-30,0.29088
2010-03-31,0.2915
2010-04-01,0.2915
2010-04-02,0.2915
2010-04-03,0.2915
2010-04-04,0.2915
2010-04-05,0.2915
2010-04-06,0.29488
2010-04-07,0.29525
2010-04-08,0.294
2010-04-09,0.29781
2010-04-10,0.29781
2010-04-11,0.29781
2010-04-12,0.30041
2010-04-13,0.30281
2010-04-14,0.30375
2010-04-15,0.30438
2010-04-16,0.30531
2010-04-17,0.30531
2010-04-18,0.30531
2010-04-19,0.30531
2010-04-20,0.30719
2010-04-21,0.31281
2010-04-22,0.31578
2010-04-23,0.32063
2010-04-24,0.32063
2010-04-25,0.32063
2010-04-26,0.32375
2010-04-27,0.32781
2010-04-28,0.33781
2010-04-29,0.34438
2010-04-30,0.34656
2010-05-01,0.34656
2010-05-02,0.34656
2010-05-03,0.34656
2010-05-04,0.35313
2010-05-05,0.36016
2010-05-06,0.37359
2010-05-07,0.42813
2010-05-08,0.42813
2010-05-09,0.42813
2010-05-10,0.42125
2010-05-11,0.42281
2010-05-12,0.43019
2010-05-13,0.43588
2010-05-14,0.44506
2010-05-15,0.44506
2010-05-16,0.44506
2010-05-17,0.46
2010-05-18,0.46469
2010-05-19,0.4775
